project,url,jira,key,releases,releases_tags
commons-io,https://github.com/apache/commons-io.git,https://issues.apache.org/jira/projects/IO/,IO,"1.0, 1.1, 1.2, 1.3, 1.4, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5","IO_1_0, IO_1_1, IO_1_2, IO_1_3, commons-io-1.4, commons-io-2.0, commons-io-2.1, 2.2, 2.3, 2.4, 2.5"
commons-jcs,https://github.com/apache/commons-jcs.git,https://issues.apache.org/jira/projects/JCS/,JCS,"1.0, 1.1, 1.3, 2.0, 2.1, 2.2","JCS_1_0, jcs_1_1_dev, JCS_1_3, commons-jcs-2.0, commons-jcs-2.1, commons-jcs-2.2"
commons-jexl,https://github.com/apache/commons-jexl.git,https://issues.apache.org/jira/projects/JEXL/,JEXL,"2.0, 2.1","2.0, 2.1"
commons-lang,https://github.com/apache/commons-lang.git,https://issues.apache.org/jira/projects/LANG/,LANG,"2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7","LANG_2_0, LANG_2_1, LANG_2_2, LANG_2_3, LANG_2_4, LANG_2_5, LANG_2_6, LANG_3_0, LANG_3_1, LANG_3_2, LANG_3_3, LANG_3_4, LANG_3_5, LANG_3_7"
commons-math,https://github.com/apache/commons-math.git,https://issues.apache.org/jira/projects/MATH/,MATH,"1.0, 1.1, 1.2, 2.0, 2.1, 2.2, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5","MATH_1_0, MATH_1_1, MATH_1_2, MATH_2_0, MATH_2_1, MATH_2_2, MATH_3_0, MATH_3_1, MATH_3_2, MATH_3_3, MATH_3_4, MATH_3_5"
commons-net,https://github.com/apache/commons-net.git,https://issues.apache.org/jira/projects/NET/,NET,"1.0.0, 1.1.0, 1.2.0, 1.3.0, 1.4.0, 2.0, 2.1, 2.2, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6","NET_1_0_0, NET_1_1_0, NET_1_2_0, NET_1_3_0, NET_1_4_0, NET_2_0, commons-net-2.1, NET_2_2, NET_3_0, NET_3_1, NET_3_2, NET_3_3, NET_3_4, NET_3_5, NET_3_6"
commons-scxml,https://github.com/apache/commons-scxml.git,https://issues.apache.org/jira/projects/SCXML/,SCXML,"0.5, 0.6, 0.7, 0.8, 0.9","SCXML_0_5, SCXML_0_6, SCXML_0_7, SCXML_0_8, SCXML_0_9"
commons-validator,https://github.com/apache/commons-validator.git,https://issues.apache.org/jira/projects/VALIDATOR/,VALIDATOR,"1.1.0, 1.2.0, 1.3.0, 1.4.0, 1.5.0, 1.6.0","VALIDATOR_1_1_0, VALIDATOR_1_2_0, VALIDATOR_1_3_0, VALIDATOR_1_4_0, VALIDATOR_1_5_0, VALIDATOR_1_6"
commons-vfs,https://github.com/apache/commons-vfs.git,https://issues.apache.org/jira/projects/VFS/,VFS,"1.0, 2.0, 2.1, 2.2","rel/commons-vfs-1.0, rel/commons-vfs-2.0, rel/commons-vfs-2.1, rel/commons-vfs-2.2"
deltaspike,https://github.com/apache/deltaspike.git,https://issues.apache.org/jira/projects/DELTASPIKE/,DELTASPIKE,"0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 1.0.0, 1.1.0, 1.2.0, 1.3.0, 1.4.0, 1.5.0, 1.6.0, 1.7.0, 1.8.0","deltaspike-project-0.1-incubating, deltaspike-project-0.2-incubating, deltaspike-project-0.3-incubating, deltaspike-project-0.4, deltaspike-project-0.5, deltaspike-project-0.6, deltaspike-project-0.7, deltaspike-project-1.0.0, deltaspike-project-1.1.0, deltaspike-project-1.2.0, deltaspike-root-1.3.0, deltaspike-1.4.0, deltaspike-1.5.0, deltaspike-1.6.0, deltaspike-1.7.0, deltaspike-1.8.0"
eagle,https://github.com/apache/eagle.git,https://issues.apache.org/jira/projects/EAGLE/,EAGLE,"0.3.0, 0.4.0","v0.3.0-incubating, v0.4.0-incubating"
giraph,https://github.com/apache/giraph.git,https://issues.apache.org/jira/projects/GIRAPH/,GIRAPH,"1.0.0, 1.1.0","release-1.0.0-RC3, release-1.1.0"
gora,https://github.com/apache/gora.git,https://issues.apache.org/jira/projects/GORA/,GORA,"0.1, 0.2, 0.3, 0.4, 0.5, 0.6","0.1-incubating, gora-0.2, apache-gora-0.3, apache-gora-0.4, apache-gora-0.5, apache-gora-0.6"
jspwiki,https://github.com/apache/jspwiki.git,https://issues.apache.org/jira/projects/JSPWIKI/,JSPWIKI,"1.4.0, 1.5.0, 1.6.0, 1.7.0, 1.8.0, 2.0.36, 2.2.19, 2.4.56, 2.6.0, 2.8.0, 2.9.0, 2.10.0","jspwiki_1_4_0, jspwiki_1_5_0, jspwiki_1_6_0, jspwiki_1_7_0, jspwiki_1_8_0, jspwiki_2_0_36, jspwiki_2_2_19, jspwiki_2_4_56, jspwiki_2_6_0, jspwiki_2_8_0, jspwiki_2_9_0_rc1, jspwiki_2_10_0"
knox,https://github.com/apache/knox.git,https://issues.apache.org/jira/projects/KNOX/,KNOX,"0.3.0, 0.4.0, 0.5.0, 0.6.0, 0.7.0, 0.8.0, 0.9.0, 0.10.0, 0.11.0, 0.12.0, 0.13.0, 0.14.0, 1.0.0","v0.3.0-final, v0.4.0-release, v0.5.0-rc2, v0.6.0-release, v0.7.0-release, v0.8.0-release, v0.9.0-release, v0.10.0-release, v0.11.0-release, v0.12.0-release, v0.13.0-release, v0.14.0-release, v1.0.0-release"
lens,https://github.com/apache/lens.git,https://issues.apache.org/jira/projects/LENS/,LENS,"2.6.0, 2.7.0","apache-lens-2.6.0, apache-lens-2.7.0"
mahout,https://github.com/apache/mahout.git,https://issues.apache.org/jira/projects/MAHOUT/,MAHOUT,"0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.10.0, 0.11.0, 0.12.0","mahout-0.1, mahout-0.2, mahout-0.3, mahout-0.4, mahout-0.5, mahout-0.6, mahout-0.7, mahout-0.8, mahout-0.9, mahout-0.10.0, mahout-0.11.0, mahout-0.12.0"
manifoldcf,https://github.com/apache/manifoldcf.git,https://issues.apache.org/jira/projects/CONNECTORS/,CONNECTORS,"0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 1.10, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 2.10","release-0.1-incubating, release-0.2-incubating, release-0.3-incubating, release-0.4-incubating, release-0.5-incubating, release-0.6, release-1.0, release-1.1, release-1.2, release-1.3, release-1.4, release-1.5, release-1.6, release-1.7, release-1.8, release-1.9, release-1.10, release-2.0, release-2.1, release-2.2, release-2.3, release-2.4-RC0, release-2.5, release-2.6, release-2.7, release-2.8, release-2.9, release-2.10"
nutch,https://github.com/apache/nutch.git,https://issues.apache.org/jira/projects/NUTCH/,NUTCH,"0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 1.10, 1.11, 1.12, 1.13, 1.14, 2.0, 2.1, 2.2, 2.3","release-0.7, release-0.8, release-0.9, release-1.0, relase-1.1, release-1.2, release-1.3, release-1.4, release-1.5, release-1.6, release-1.7, release-1.8, release-1.9, release-1.10, release-1.11-rc2, release-1.12, release-1.13, release-1.14, release-2.0, release-2.1, release-2.2, release-2.3"
opennlp,https://github.com/apache/opennlp.git,https://issues.apache.org/jira/projects/OPENNLP/,OPENNLP,"1.7.0, 1.8.0","opennlp-1.7.0, opennlp-1.8.0"
parquet-mr,https://github.com/apache/parquet-mr.git,https://issues.apache.org/jira/projects/PARQUET/,PARQUET,"1.0.0, 1.1.0, 1.2.0, 1.3.0, 1.4.0, 1.5.0, 1.6.0, 1.7.0, 1.8.0, 1.9.0","parquet-1.0.0, parquet-1.1.0, parquet-1.2.0, parquet-1.3.0, parquet-1.4.0, parquet-1.5.0, apache-parquet-mr-1.6.0-incubating, apache-parquet-1.7.0, apache-parquet-1.8.0, apache-parquet-1.9.0"
santuario-java,https://github.com/apache/santuario-java.git,https://issues.apache.org/jira/projects/SANTUARIO/,SANTUARIO,"1.4.5, 1.5.9, 2.0.0, 2.1.0","1.4.5, xmlsec-1.5.8, xmlsec-2.0.0, xmlsec-2.1.0"
systemml,https://github.com/apache/systemds.git,https://issues.apache.org/jira/projects/SYSTEMDS/,SYSTEMDS,"0.9, 0.10, 0.11, 0.12, 0.13, 0.14, 0.15, 1.0.0, 1.1.0","v0.9.0-rc1, 0.10.0-incubating-rc1, v0.11.0-incubating-rc1, v0.12.0-incubating-rc1, v0.13.0-incubating-rc1, v0.14.0-incubating-rc1, v0.15.0-rc1, v1.0.0-rc1, v1.1.0-rc1"
tika,https://github.com/apache/tika.git,https://issues.apache.org/jira/projects/TIKA/,TIKA,"0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.10, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 1.10, 1.11, 1.12, 1.13, 1.14, 1.15, 1.16, 1.17","0.1-incubating, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.10, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9-rc2, 1.10, 1.11-rc1, 1.12-rc1, 1.13, 1.14-rc1, 1.15, 1.16, 1.17"
wss4j,https://github.com/apache/ws-wss4j.git,https://issues.apache.org/jira/projects/WSS/,WSS,"1.5.0, 1.6.0, 2.0.0, 2.1.0","1_5_0, 1_6_0, wss4j-2.0.0, wss4j-2.1.0"
